Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,MC2,Precision,0.782608696,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,Recall,1,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,F1 Score,0.87804878,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,AUC,0.951851852,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,depth,5,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,iterations,300,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,l2_leaf_reg,3,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,MC2 Classification Report,,,0,1,0.666666667,0.8,15
Grid Search,,,,MC2 Classification Report,,,1,0.782608696,1,0.87804878,18
Grid Search,,,,MC2 Classification Report,,,accuracy,0.848484848,0.848484848,0.848484848,0.848484848
Grid Search,,,,MC2 Classification Report,,,macro avg,0.891304348,0.833333333,0.83902439,33
Grid Search,,,,MC2 Classification Report,,,weighted avg,0.881422925,0.848484848,0.842572062,33
Grid Search,MW1,Accuracy,0.945054945,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,Precision,0.923076923,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,Recall,0.979591837,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,F1 Score,0.95049505,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,AUC,0.98931001,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,depth,5,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,iterations,300,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,l2_leaf_reg,1,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,MW1 Classification Report,,,0,0.974358974,0.904761905,0.938271605,42
Grid Search,,,,MW1 Classification Report,,,1,0.923076923,0.979591837,0.95049505,49
Grid Search,,,,MW1 Classification Report,,,accuracy,0.945054945,0.945054945,0.945054945,0.945054945
Grid Search,,,,MW1 Classification Report,,,macro avg,0.948717949,0.942176871,0.944383327,91
Grid Search,,,,MW1 Classification Report,,,weighted avg,0.946745562,0.945054945,0.94485346,91
Grid Search,PC1,Accuracy,0.968992248,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,Precision,0.94488189,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,Recall,0.991735537,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,F1 Score,0.967741935,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,AUC,0.995234361,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,depth,7,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,iterations,300,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,l2_leaf_reg,3,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,PC1 Classification Report,,,0,0.992366412,0.948905109,0.970149254,137
Grid Search,,,,PC1 Classification Report,,,1,0.94488189,0.991735537,0.967741935,121
Grid Search,,,,PC1 Classification Report,,,accuracy,0.968992248,0.968992248,0.968992248,0.968992248
Grid Search,,,,PC1 Classification Report,,,macro avg,0.968624151,0.970320323,0.968945595,258
Grid Search,,,,PC1 Classification Report,,,weighted avg,0.970096539,0.968992248,0.96902024,258
Grid Search,PC2,Accuracy,0.98630137,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,Precision,0.973856209,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,Recall,1,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,F1 Score,0.986754967,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,AUC,0.999765335,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,depth,7,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,iterations,200,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,l2_leaf_reg,1,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,PC2 Classification Report,,,0,1,0.972027972,0.985815603,143
Grid Search,,,,PC2 Classification Report,,,1,0.973856209,1,0.986754967,149
Grid Search,,,,PC2 Classification Report,,,accuracy,0.98630137,0.98630137,0.98630137,0.98630137
Grid Search,,,,PC2 Classification Report,,,macro avg,0.986928105,0.986013986,0.986285285,292
Grid Search,,,,PC2 Classification Report,,,weighted avg,0.986659504,0.98630137,0.986294936,292
Grid Search,PC3,Accuracy,0.923280423,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,Precision,0.900990099,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,Recall,0.952879581,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,F1 Score,0.926208651,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,AUC,0.979897528,PC3 Performance Metrics,,,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,depth,7,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,iterations,300,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,l2_leaf_reg,5,,,,,
Grid Search,PC3,,,PC3 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,PC3 Classification Report,,,0,0.948863636,0.893048128,0.920110193,187
Grid Search,,,,PC3 Classification Report,,,1,0.900990099,0.952879581,0.926208651,191
Grid Search,,,,PC3 Classification Report,,,accuracy,0.923280423,0.923280423,0.923280423,0.923280423
Grid Search,,,,PC3 Classification Report,,,macro avg,0.924926868,0.922963855,0.923159422,378
Grid Search,,,,PC3 Classification Report,,,weighted avg,0.924673569,0.923280423,0.923191689,378
Grid Search,PC4,Accuracy,0.963963964,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,Precision,0.933884298,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,Recall,1,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,F1 Score,0.965811966,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,AUC,0.996407404,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,depth,7,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,iterations,300,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,l2_leaf_reg,7,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,,,,PC4 Classification Report,,,0,1,0.926605505,0.961904762,218
Grid Search,,,,PC4 Classification Report,,,1,0.933884298,1,0.965811966,226
Grid Search,,,,PC4 Classification Report,,,accuracy,0.963963964,0.963963964,0.963963964,0.963963964
Grid Search,,,,PC4 Classification Report,,,macro avg,0.966942149,0.963302752,0.963858364,444
Grid Search,,,,PC4 Classification Report,,,weighted avg,0.966346512,0.963963964,0.963893564,444
Random Search,CM1,Accuracy,0.938596491,CM1 Performance Metrics,,,,,,,
Random Search,CM1,Precision,0.928571429,CM1 Performance Metrics,,,,,,,
Random Search,CM1,Recall,0.945454545,CM1 Performance Metrics,,,,,,,
Random Search,CM1,F1 Score,0.936936937,CM1 Performance Metrics,,,,,,,
Random Search,CM1,AUC,0.974730354,CM1 Performance Metrics,,,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,learning_rate,0.05,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,l2_leaf_reg,1,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,iterations,300,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,depth,7,,,,,
Random Search,,,,CM1 Classification Report,,,0,0.948275862,0.93220339,0.94017094,59
Random Search,,,,CM1 Classification Report,,,1,0.928571429,0.945454545,0.936936937,55
Random Search,,,,CM1 Classification Report,,,accuracy,0.938596491,0.938596491,0.938596491,0.938596491
Random Search,,,,CM1 Classification Report,,,macro avg,0.938423645,0.938828968,0.938553939,114
Random Search,,,,CM1 Classification Report,,,weighted avg,0.938769337,0.938596491,0.938610675,114
Random Search,JM1,Accuracy,0.857201309,JM1 Performance Metrics,,,,,,,
Random Search,JM1,Precision,0.902597403,JM1 Performance Metrics,,,,,,,
