Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support,Search Method
,,,MC1 Classification Report,,,0,0.9900744416873449,0.9803439803439803,0.9851851851851852,407.0,Grid Search
,,,MC1 Classification Report,,,1,0.9786096256684492,0.9891891891891892,0.9838709677419355,370.0,Grid Search
,,,MC1 Classification Report,,,accuracy,0.9845559845559846,0.9845559845559846,0.9845559845559846,0.9845559845559846,Grid Search
,,,MC1 Classification Report,,,macro avg,0.9843420336778971,0.9847665847665847,0.9845280764635603,777.0,Grid Search
,,,MC1 Classification Report,,,weighted avg,0.9846150054878708,0.9845559845559846,0.9845593673550662,777.0,Grid Search
MC2,Accuracy,0.7878787878787878,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,Precision,0.8235294117647058,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,Recall,0.7777777777777778,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,F1 Score,0.8,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,AUC,0.8777777777777778,MC2 Performance Metrics,,,,,,,,Grid Search
MC2,,,MC2 Best Hyperparameters,learning_rate,0.5,,,,,,Grid Search
MC2,,,MC2 Best Hyperparameters,n_estimators,200.0,,,,,,Grid Search
,,,MC2 Classification Report,,,0,0.75,0.8,0.7741935483870968,15.0,Grid Search
,,,MC2 Classification Report,,,1,0.8235294117647058,0.7777777777777778,0.8,18.0,Grid Search
,,,MC2 Classification Report,,,accuracy,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878,Grid Search
,,,MC2 Classification Report,,,macro avg,0.7867647058823529,0.788888888888889,0.7870967741935484,33.0,Grid Search
,,,MC2 Classification Report,,,weighted avg,0.7901069518716577,0.7878787878787878,0.7882697947214077,33.0,Grid Search
MW1,Accuracy,0.9230769230769231,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,Precision,0.92,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,Recall,0.9387755102040817,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,F1 Score,0.9292929292929293,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,AUC,0.9727891156462585,MW1 Performance Metrics,,,,,,,,Grid Search
MW1,,,MW1 Best Hyperparameters,learning_rate,1.0,,,,,,Grid Search
MW1,,,MW1 Best Hyperparameters,n_estimators,50.0,,,,,,Grid Search
,,,MW1 Classification Report,,,0,0.926829268292683,0.9047619047619048,0.9156626506024096,42.0,Grid Search
,,,MW1 Classification Report,,,1,0.92,0.9387755102040817,0.9292929292929293,49.0,Grid Search
,,,MW1 Classification Report,,,accuracy,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,Grid Search
,,,MW1 Classification Report,,,macro avg,0.9234146341463415,0.9217687074829932,0.9224777899476695,91.0,Grid Search
,,,MW1 Classification Report,,,weighted avg,0.9231519699812384,0.9230769230769231,0.9230020314357663,91.0,Grid Search
PC1,Accuracy,0.937984496124031,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,Precision,0.92,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,Recall,0.9504132231404959,PC1 Performance Metrics,,,,,,,,Grid Search
PC1,F1 Score,0.9349593495934959,PC1 Performance Metrics,,,,,,,,Grid Search
