Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,MC1,F1 Score,0.993252362,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,AUC,0.998120725,MC1 Performance Metrics,,,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,max_depth,5,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,min_child_samples,10,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,num_leaves,40,,,,,
Grid Search,MC1,,,MC1 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,MC1 Classification Report,,,0,0.995073892,0.992628993,0.993849938,407
Grid Search,,,,MC1 Classification Report,,,1,0.991913747,0.994594595,0.993252362,370
Grid Search,,,,MC1 Classification Report,,,accuracy,0.993564994,0.993564994,0.993564994,0.993564994
Grid Search,,,,MC1 Classification Report,,,macro avg,0.993493819,0.993611794,0.99355115,777
Grid Search,,,,MC1 Classification Report,,,weighted avg,0.993569061,0.993564994,0.993565378,777
Grid Search,MC2,Accuracy,0.878787879,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,Precision,0.85,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,Recall,0.944444444,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,F1 Score,0.894736842,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,AUC,0.97037037,MC2 Performance Metrics,,,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,colsample_bytree,0.8,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,max_depth,3,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,min_child_samples,5,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,n_estimators,50,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,num_leaves,20,,,,,
Grid Search,MC2,,,MC2 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,MC2 Classification Report,,,0,0.923076923,0.8,0.857142857,15
Grid Search,,,,MC2 Classification Report,,,1,0.85,0.944444444,0.894736842,18
Grid Search,,,,MC2 Classification Report,,,accuracy,0.878787879,0.878787879,0.878787879,0.878787879
Grid Search,,,,MC2 Classification Report,,,macro avg,0.886538462,0.872222222,0.87593985,33
Grid Search,,,,MC2 Classification Report,,,weighted avg,0.883216783,0.878787879,0.877648667,33
Grid Search,MW1,Accuracy,0.956043956,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,Precision,0.941176471,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,Recall,0.979591837,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,F1 Score,0.96,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,AUC,0.993197279,MW1 Performance Metrics,,,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,learning_rate,0.05,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,max_depth,7,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,min_child_samples,5,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,num_leaves,20,,,,,
Grid Search,MW1,,,MW1 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,MW1 Classification Report,,,0,0.975,0.928571429,0.951219512,42
Grid Search,,,,MW1 Classification Report,,,1,0.941176471,0.979591837,0.96,49
Grid Search,,,,MW1 Classification Report,,,accuracy,0.956043956,0.956043956,0.956043956,0.956043956
Grid Search,,,,MW1 Classification Report,,,macro avg,0.958088235,0.954081633,0.955609756,91
Grid Search,,,,MW1 Classification Report,,,weighted avg,0.95678733,0.956043956,0.955947467,91
Grid Search,PC1,Accuracy,0.968992248,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,Precision,0.959349593,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,Recall,0.975206612,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,F1 Score,0.967213115,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,AUC,0.995716957,PC1 Performance Metrics,,,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,max_depth,-1,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,min_child_samples,10,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,num_leaves,31,,,,,
Grid Search,PC1,,,PC1 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,PC1 Classification Report,,,0,0.977777778,0.96350365,0.970588235,137
Grid Search,,,,PC1 Classification Report,,,1,0.959349593,0.975206612,0.967213115,121
Grid Search,,,,PC1 Classification Report,,,accuracy,0.968992248,0.968992248,0.968992248,0.968992248
Grid Search,,,,PC1 Classification Report,,,macro avg,0.968563686,0.969355131,0.968900675,258
Grid Search,,,,PC1 Classification Report,,,weighted avg,0.969135102,0.968992248,0.96900533,258
Grid Search,PC2,Accuracy,0.98630137,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,Precision,0.98013245,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,Recall,0.993288591,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,F1 Score,0.986666667,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,AUC,0.999249073,PC2 Performance Metrics,,,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,colsample_bytree,0.6,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,max_depth,-1,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,min_child_samples,5,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,n_estimators,100,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,num_leaves,40,,,,,
Grid Search,PC2,,,PC2 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,PC2 Classification Report,,,0,0.992907801,0.979020979,0.985915493,143
Grid Search,,,,PC2 Classification Report,,,1,0.98013245,0.993288591,0.986666667,149
